concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
38000200,Inpatient header - 1st position,Type Concept,Condition Type,Condition Type,,OMOP4822076,19700101,20991231,
38000230,Outpatient header - 1st position,Type Concept,Condition Type,Condition Type,,OMOP4822106,19700101,20991231,
38000175,Prescription dispensed in pharmacy,Type Concept,Drug Type,Drug Type,,OMOP4822239,19700101,20991231,
38003563,Hispanic or Latino,Ethnicity,Ethnicity,Ethnicity,S,Hispanic,19700101,20991231,
38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,Ethnicity,S,Not Hispanic,19700101,20991231,
8532,FEMALE,Gender,Gender,Gender,S,F,19700101,20991231,
8507,MALE,Gender,Gender,Gender,S,M,19700101,20991231,
2615394,"Injection, gadoteridol, (prohance multipack), per ml",Drug,HCPCS,HCPCS,,A9576,20080101,20991231,
2615395,"Injection, gadobenate dimeglumine (multihance), per ml",Device,HCPCS,HCPCS,S,A9577,20080101,20991231,
2616311,"Injection, pantoprazole sodium, per vial",Drug,HCPCS,HCPCS,,C9113,20020101,20991231,
2616369,"INJECTION, FOSAPREPITANT, 1 MG (Deprecated)",Drug,HCPCS,HCPCS,,C9242,19700101,20160311,
40659693,"Injection, bevacizumab, 0.25 mg",Drug,HCPCS,HCPCS,,C9257,20100101,20991231,
2617178,Administration of pneumococcal vaccine,Drug,HCPCS,HCPCS,,G0009,19940101,20991231,
2617179,Administration of hepatitis b vaccine,Drug,HCPCS,HCPCS,,G0010,19940101,20991231,
2617506,Diabetic patient with most recent hemoglobin a1c level (within the last 6 months) documented as less than or equal to 9% (Deprecated),Observation,HCPCS,HCPCS,S,G8016,19700101,20141111,
40662774,Influenza a (H1N1) immunization administration (includes the physician counseling the patient/family) (Deprecated),Drug,HCPCS,HCPCS,,G9141,20120101,20121231,
40663275,"Influenza a (H1N1) vaccine, any route of administration (Deprecated)",Drug,HCPCS,HCPCS,,G9142,20120101,20121231,
2718217,"Injection, abatacept, 10 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Drug,HCPCS,HCPCS,,J0129,20070101,20991231,
2718222,"Injection, adenosine for therapeutic use, 6 mg (not to be used to report any adenosine phosphate compounds, instead use a9270) (Deprecated)",Drug,HCPCS,HCPCS,,J0150,19940101,20141231,
2718224,"Injection, adenosine for diagnostic use, 30 mg (not to be used to report any adenosine phosphate compounds; instead use a9270) (Deprecated)",Drug,HCPCS,HCPCS,,J0152,20120101,20131231,
2718225,"Injection, adrenalin, epinephrine, up to 1 ml ampule (Deprecated)",Drug,HCPCS,HCPCS,,J0170,19700101,20141111,
2718235,"Injection, alprostadil, 1.25 mcg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Drug,HCPCS,HCPCS,,J0270,19970101,20991231,
2718238,"Injection, aminophyllin, up to 250 mg",Drug,HCPCS,HCPCS,,J0280,19840101,20991231,
2718245,"Injection, ampicillin sodium, 500 mg",Drug,HCPCS,HCPCS,,J0290,19840101,20991231,
2718248,"Injection, succinylcholine chloride, up to 20 mg",Drug,HCPCS,HCPCS,,J0330,19860101,20991231,
2718252,"Injection, hydralazine hcl, up to 20 mg",Drug,HCPCS,HCPCS,,J0360,19860101,20991231,
2718259,"Injection, azithromycin, 500 mg",Drug,HCPCS,HCPCS,,J0456,20000101,20991231,
2718260,"INJECTION, ATROPINE SULFATE, UP TO 0.3 MG (Deprecated)",Drug,HCPCS,HCPCS,,J0460,19700101,20140101,
40660485,"Injection, atropine sulfate, 0.01 mg",Drug,HCPCS,HCPCS,,J0461,20100101,20991231,
2718273,"Buprenorphine implant, 74.2 mg",Drug,HCPCS,HCPCS,,J0570,20170101,20991231,
2718282,"Injection, edetate calcium disodium, up to 1000 mg",Drug,HCPCS,HCPCS,,J0600,19820101,20991231,
2718287,"Injection, calcitriol, 0.1 mcg",Drug,HCPCS,HCPCS,,J0636,20030101,20991231,
2718289,"Injection, leucovorin calcium, per 50 mg",Drug,HCPCS,HCPCS,,J0640,19820101,20991231,
2718291,"Injection, mepivacaine hydrochloride, per 10 ml",Drug,HCPCS,HCPCS,,J0670,19860101,20991231,
2718292,"Injection, cefazolin sodium, 500 mg",Drug,HCPCS,HCPCS,,J0690,19820101,20991231,
2718293,"Injection, cefepime hydrochloride, 500 mg",Drug,HCPCS,HCPCS,,J0692,20020101,20991231,
